,Name,Description,Composition & Care,Old Price,New Price,Discount,Size(s),Product Link
0,ZIPPER JACKET,This zipper jacket looks cool with chinos or jeans,"Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtc492027-mnb
1,ZIPPER JACKET,This zipper jacket looks cool with chinos or jeans,"Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtc492027-blk
2,pattern zipper JACKET,Get a captivating look in our front open light weight zipper jacket,"Wash Inside Out. Use recommended detergents for colors, Iron inside out
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492013-nyb
3,BLACK PLAIN BLAZER,Black Plain Blazer with side pockets to look perfect this season,"Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Please line dry in shade. Do not dry with sunlight directly","PKR 5,990","PKR 4,190",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492010-blk
4,DARK TONE SWEATER,Get a chance to be recognized while wearing this dark tone sweater,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 3,090",31%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492040-grn
5,DARK TONE SWEATER,Get a chance to be recognized while wearing this dark tone sweater,"Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 3,090",31%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492040-blk
6,CAPE SHAWL,Get comfortable warmth on winter days in this broad chequered cape shawl,"Knit

Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 3,090",31%,FREE,https://outfitters.com.pk/collections/women/products/wtf492050-gry
7,biker jacket,"Faux leather biker jacket with pockets, metallic buckle at hem, zip fastening to one side and a contrasting hood","Polyurethane
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492015blk
8,biker jacket,"Faux leather biker jacket with pockets, metallic buckle at hem, zip fastening to one side and a contrasting hood","Polyurethane
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 6,990","PKR 4,890",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492015pnk
9,Regular Fit Full Sleeves Striped Sweater,"Full sleeves, relaxed fit shirt featuring horizontal stripes and a color block affect.","70%Viscose, 30%Nylon
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,290","PKR 2,290",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtc492037grn
10,Regular Fit Round neck sweater,Solid colours are back in style. Pair them with your favourite pair of pants and you're good to go!,"100%polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492039-nvy
11,Blue Beckon Boxy fit Sweater,"Pair up our plain knitted navy sweater with your favorite denim this winter, the sweater is enhanced with basic stitch details.","100%polyester
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492033-nvy
12,Suede Jacket,Front Zip closure with ribbed hem,"Suede
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,490","PKR 4,490",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtc492005-stn
13,Regular Fit Mock Collar Jacket,Feel warm in this regular fit mock collar jacket,"Polyurethane
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Do not keep in damp state. Please dry up while lying out on a flat ground. Do not dry with sunlight directly","PKR 6,990","PKR 3,490",50%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtc492003-blk
14,Crew Neck Black Knitted Shirt,Black knitted sweater shirt adorned with gold buttons along the sleeves,"70%Viscose
30%Nylon
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492029-blk
15,CAPE SHAWL,Get comfortable warmth on winter days in this broad chequered cape shawl,"Knit

Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 3,090",31%,FREE,https://outfitters.com.pk/collections/women/products/wtf492050-blk
16,Red Plaid CAPE SHAWL,Beautiful red plaid cape shawl to add some depth to your outfits,"70%Viscose
30%Nylon
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 3,090",31%,FREE,https://outfitters.com.pk/collections/women/products/wtf492054-red
17,PATTERN PRINT JACKET,Long sleeves pattern print jacket with side zipper detail and collar,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 6,990","PKR 3,490",50%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492020gry
18,PATTERN PRINT JACKET,Long sleeves pattern print jacket with side zipper detail and collar,"Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 6,990","PKR 3,490",50%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492020red
19,OVERSIZED SWEATER,"Soft-touch over-sized sweater with buttons on shoulder, stripped design and ribbed detail on the cuffs and hem","Knit
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492034blk
20,OVERSIZED SWEATER,"Soft-touch over-sized sweater with buttons on shoulder, stripped design and ribbed detail on the cuffs and hem","Knit
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,690","PKR 2,590",29%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492034cml
21,Grey Knit sweater,"Monochrome long sleeves sweater with chevron pattern and ribbing on neck, sleeves and hem","Knit
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492051gry
22,LONG KNIT CARDIGAN,Long knit cardigan with long sleeves and ribbing at the edges,"Knit
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492058nvy
23,Boxy Sweatshirt,"Box sleeve sweatshirt with color block design, zip-up front, pockets and elastic hem and sleeves","Cotton, Polyester
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,490","PKR 2,390",31%,"L,M,S",https://outfitters.com.pk/collections/women/products/wtp492067bur
24,Boxy Sweatshirt,"Box sleeve sweatshirt with color block design, zip-up front, pockets and elastic hem and sleeves","Cotton, Polyester
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 3,490","PKR 2,390",31%,"L,M,S",https://outfitters.com.pk/collections/women/products/wtp492067nyb
25,long sleeved blazer,v-neck long-sleeved blazer with metal buttons make perfect combo for this season,"Knit
Wash Inside Out. Use recommended detergents for colors, Iron inside out.
Please line dry in shade. Do not dry with sunlight directly","PKR 5,490","PKR 2,690",51%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492011-blk
26,Chevron Pattern shirt,"Round neck shirt long sleeves, self-adjustable drawstrings and chevron pattern","Cotton
Wash and medium iron inside out
Do not keep in damp state
Do not bleach and tumble dry
Dry flat and avoid direct sunlight
Dry clean, any solvent except trichloroethylene","PKR 2,490","PKR 1,690",32%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtf492119-wtn
27,Plaid pattern shirt,"Long sleeves, buttoned cuff shirt with plaid pattern and zip fastening at front","Cotton
Wash and medium iron inside out
Do not bleach or tumble dry
Dry clean, any solvent except trichloroethylene
Dry flat and avoid direct sunlight","PKR 2,490","PKR 1,190",52%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492124-rwb
28,dual pocket SHIRT,Look perfect this winter while wearing this dual pocket shirt,"Cotton
Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,690","PKR 1,790",51%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492123-lch
29,CAPE SHAWL,Get a chance to be recognized while wearing this cape shawl,"Knit

Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 4,490","PKR 3,090",31%,FREE,https://outfitters.com.pk/collections/women/products/wtp492053-grn
30,Embellished Sweater,Adorn yourself in comfort with our embellished sweater,"Knit

Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492042-yel
31,Embellished Sweater,Adorn yourself in comfort with our embellished sweater,"Knit

Wash inside out, use recommended detergent for colors, please line dry in shade, do not dry with sunlight directly
Do not bleach, Do not Tumble Dry , Dry Flat, Medium Iron Inside out, Dry cleanable any solvent except trichloroethylene","PKR 3,990","PKR 2,790",30%,"XS,S,M,L",https://outfitters.com.pk/collections/women/products/wtp492042-gry
